episode,total_reward,epsilon
849,-15.0200,0.27916
850,-12.1400,0.27874
851,9.9800,0.27833
852,9.2600,0.27791
853,-37.1000,0.27749
854,-11.6600,0.27708
855,-11.1800,0.27666
856,-10.2200,0.27625
857,-10.7000,0.27583
858,-12.1400,0.27542
859,-12.1400,0.27500
860,-7.8200,0.27459
861,-9.2600,0.27418
862,-5.4200,0.27377
863,-9.7400,0.27336
864,9.9800,0.27295
865,-10.2200,0.27254
866,-12.1400,0.27213
867,-12.6200,0.27172
868,-10.7000,0.27131
869,-5.4200,0.27091
870,-9.2600,0.27050
871,9.9800,0.27009
872,-10.2200,0.26969
873,-7.3400,0.26929
874,-10.7000,0.26888
875,-7.3400,0.26848
876,-12.1400,0.26808
877,-11.6600,0.26767
878,9.9400,0.26727
879,-7.8200,0.26687
880,-6.3800,0.26647
881,-10.2200,0.26607
882,-16.4600,0.26567
883,4.0400,0.26527
884,-10.7000,0.26488
885,-8.7800,0.26448
886,-9.2600,0.26408
887,-3.9800,0.26369
888,-11.1800,0.26329
889,-6.3800,0.26289
890,-11.1800,0.26250
891,5.3200,0.26211
892,-11.1800,0.26171
893,8.9000,0.26132
894,-10.7000,0.26093
895,-8.7800,0.26054
896,-11.1800,0.26015
897,-9.7400,0.25976
898,9.9800,0.25937
899,-8.3000,0.25898
900,-8.3000,0.25859
901,9.9400,0.25820
902,-11.1800,0.25781
903,-9.7400,0.25743
904,-5.4200,0.25704
905,9.9000,0.25666
906,7.1800,0.25627
907,-9.2600,0.25589
908,-13.1000,0.25550
909,-18.8600,0.25512
910,-11.6600,0.25474
911,-9.7400,0.25435
912,-8.7800,0.25397
913,9.9400,0.25359
914,-11.6600,0.25321
915,-10.7000,0.25283
916,-10.2200,0.25245
917,-8.7800,0.25207
918,-8.7800,0.25170
919,-10.2200,0.25132
920,-6.3800,0.25094
921,-7.8200,0.25056
922,-10.7000,0.25019
923,9.4800,0.24981
924,-6.3800,0.24944
925,-14.0600,0.24906
926,-8.3000,0.24869
927,8.9000,0.24832
928,-10.2200,0.24795
929,-7.8200,0.24757
930,9.8000,0.24720
931,-8.3000,0.24683
932,9.8000,0.24646
933,-11.1800,0.24609
934,-8.3000,0.24572
935,-4.9400,0.24535
936,-6.8600,0.24499
937,9.9800,0.24462
938,-8.7800,0.24425
939,-9.7400,0.24388
940,-6.3800,0.24352
941,-18.8600,0.24315
942,-6.3800,0.24279
943,5.9800,0.24242
944,-7.8200,0.24206
945,8.5400,0.24170
946,-10.7000,0.24134
947,-4.4600,0.24097
948,-8.3000,0.24061
949,-5.9000,0.24025
950,-9.2600,0.23989
951,8.8000,0.23953
952,2.5200,0.23917
953,-9.7400,0.23881
954,-11.6600,0.23845
955,9.9800,0.23810
956,-7.3400,0.23774
957,-10.7000,0.23738
958,-10.7000,0.23703
959,-4.9400,0.23667
960,-9.7400,0.23632
961,-8.7800,0.23596
962,-11.1800,0.23561
963,9.4400,0.23525
964,-6.8600,0.23490
965,-12.1400,0.23455
966,-10.2200,0.23420
967,-6.8600,0.23385
968,-10.7000,0.23350
969,-7.8200,0.23315
970,4.7000,0.23280
971,-8.3000,0.23245
972,-6.3800,0.23210
973,-8.3000,0.23175
974,-10.2200,0.23140
975,8.9000,0.23106
